StationUID,StationID,AuthorityID,BikesCapacity,ServiceType,SrcUpdateTime,UpdateTime,sna,StationName_En,longitude,latitude,GeoHash,StationAddress_Zh_tw,StationAddress_En
TPE500101119,500101119,TPE,20,2,2025-05-27T10:27:02+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_金杭公園,YouBike2.0_Jinhang Park,121.52436,25.03325,wsqqmm5m6,愛國東路21巷與杭州南路二段25巷口東南側,"Ln. 21, Aiguo E. Rd. & Ln. 25, Sec. 2, Hangzhou S. Rd. Intersection (Southeast)"
TPE500101120,500101120,TPE,43,2,2025-05-27T10:37:02+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_愛國金山路口,YouBike2.0_Aiguo & Jinshan Rd. Intersection,121.52661,25.03164,wsqqmkugz,愛國東路與杭州南路二段口西南側,"Aiguo E. Rd. & Sec. 2, Hangzhou S. Rd. Intersection (Southwest)"
TPE500101122,500101122,TPE,14,2,2025-05-27T10:33:15+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_敦化南路二段293巷口南側,"YouBike2.0_Ln. 293, Sec. 2, Dunhua S. Rd (South)",121.54899,25.0237,wsqqmgmm8,敦化南路二段293巷口南側,"Ln. 293, Sec. 2, Dunhua S. Rd. (South)"
TPE500101123,500101123,TPE,38,2,2025-05-27T10:42:02+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_敦化基隆路口,"YouBike2.0_Sec. 2, Dunhua S. Rd & Sec. 2, Keelung Rd Intersection",121.54839,25.02215,wsqqmghud,敦化南路二段218號,"No. 218, Sec. 2, Dunhua S. Rd"
TPE500101124,500101124,TPE,29,2,2025-05-27T10:47:03+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_安和路二段181巷口,"YouBike2.0_Ln. 181, Sec. 2, Anhe Rd",121.54988,25.02721,wsqqmujfj,安和路二段185號,"No185, Sec. 2, Anhe Rd"
TPE500101125,500101125,TPE,30,2,2025-05-27T10:46:02+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_臨江街夜市(通化街101巷口),"YouBike2.0_Linjiang St night market (Ln. 101, Tonghua St)",121.55406,25.02952,wsqqqh2zw,通化街111號,"No. 101, Tonghua St."
TPE500101126,500101126,TPE,29,2,2025-05-27T10:48:04+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_臨江街夜市(基隆路),YouBike2.0_Linjiang St night market (Keelung Rd),121.55721,25.02931,wsqqqh7q2,基隆路二段108號,"No. 108, Sec. 2, Keelung Rd."
TPE500101127,500101127,TPE,45,2,2025-05-27T10:48:04+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_台北科技大學億光大樓,YouBike2.0_National Taipei University of Technology (Everlight Building),121.53833,25.04177,wsqqmwtwb,忠孝東路三段81號,"No. 81, Sec. 3, Zhongxiao E. Rd."
TPE500101128,500101128,TPE,33,2,2025-05-27T10:44:01+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_新生南路一段119巷口,"YouBike2.0_Ln. 119, Sec. 1, Xinsheng S. Rd Intersection",121.53299,25.04003,wsqqmw3se,新生南路一段113號,"No. 113, Ln. 119, Sec. 1, Xinsheng S. Rd."
TPE500101129,500101129,TPE,28,2,2025-05-27T10:48:04+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_幸安國小(仁愛路),YouBike2.0_Xing'an Elementary School (Ren'ai Rd),121.53523,25.03753,wsqqmtgq0,仁愛路三段22號,"No. 22, Sec. 3, Ren'ai Rd."
TPE500101130,500101130,TPE,15,2,2025-05-27T10:47:03+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_民榮公園,YouBike2.0_Minrong Park,121.5354,25.03534,wsqqmte3k,建國南路一段304巷45號南側,"No. 45, Ln. 304, Sec. 1, Jianguo S. Rd. (South)"
TPE500101131,500101131,TPE,50,2,2025-05-27T10:44:01+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_復興南路1段340巷口,"YouBike2.0_Ln. 340, Sec. 1, Fuxing S. Rd Intersection",121.54348,25.03701,wsqqmvc70,復興南路一段信義路三段147巷45弄口,"Sec. 1, Fuxing S. Rd & Aly. 45, Ln. 147, Sec. 3, Xinyi Rd Intersection."
TPE500101132,500101132,TPE,54,2,2025-05-27T10:46:02+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_建國濟南路口,"YouBike2.0_Sec. 1, Jianguo S. Rd & Sec. 3, Jinan Rd Intersection",121.53828,25.03935,wsqqmwm2z,建國南路一段/濟南路三段口(東南側),"Sec. 1, Jianguo S. Rd & Sec. 3, Jinan Rd Intersection. (Southeast)"
TPE500101133,500101133,TPE,43,2,2025-05-27T10:47:03+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_捷運忠孝復興站(2號出口),YouBike2.0_MRT Zhongxiao Fuxing Sta (Exit 2),121.5436,25.04035,wsqqmy3qe,復興南路一段/仁愛路三段123巷13弄(西北側),"Sec. 1, Fuxing S. R & Aly. 13, Ln. 123, Sec. 3, Ren'ai Rd. (Northwest)"
TPE500101134,500101134,TPE,13,2,2025-05-27T10:48:18+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_捷運大安站(4號出口),YouBike2.0_MRT Da’an Sta (Exit 4),121.5439,25.0332,wsqqmv1sf,信義路4段6號(前),"No. 6, Sec. 4, Xinyi Rd."
TPE500101135,500101135,TPE,26,2,2025-05-27T10:44:01+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_捷運大安站(2號出口),YouBike2.0_MRT Da’an Sta (Exit 2),121.54141,25.03358,wsqqmtpz0,信義路3段143號(前),"No. 143, Sec. 3, Xinyi Rd."
TPE500101136,500101136,TPE,18,2,2025-05-27T10:48:18+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_信義大安路口(信維大樓),"YouBike2.0_Sec. 4, Xinyi Rd & Da’an Rd Intersection (Xinwei Building)",121.54639,25.03317,wsqqmv5ku,信義路四段74號(前),"No. 74, Sec. 4, Xinyi Rd."
TPE500101137,500101137,TPE,70,2,2025-05-27T10:48:04+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_龍門廣場,YouBike2.0_Long Men Plaza,121.54825,25.04092,wsqqmys9z,敦化南路一段與敦化南路一段236巷口,"Sec. 1, Dunhua S. Rd & Ln. 236, Sec. 1, Dunhua S. Rd Intersection."
TPE500101138,500101138,TPE,33,2,2025-05-27T10:44:01+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_仁愛安和路口,"YouBike2.0_Sec. 4, Ren'ai Rd & Sec. 1, Anhe Rd Intersection",121.55285,25.03754,wsqqqjbn4,仁愛路四段258號前,"No. 74, Sec. 4, Ren'ai Rd."
TPE500101139,500101139,TPE,52,2,2025-05-27T10:48:04+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_信義敦化路口,"YouBike2.0_Sec. 4, Xinyi Rd & Sec. 1, Dunhua S. Rd Intersection",121.54977,25.03333,wsqqmvjvd,信義路四段155號前,"No. 155, Sec. 4, Xinyi Rd"
TPE500101140,500101140,TPE,25,2,2025-05-27T10:38:02+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_仁愛國中,YouBike2.0_Ren Ai Junior High School,121.55166,25.03706,wsqqmvz5q,安和路一段75號(對面),"No. 75, Sec. 1, Anhe Rd."
TPE500101141,500101141,TPE,24,2,2025-05-27T10:40:03+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_捷運信義安和站(2號出口),YouBike2.0_MRT Xinyi Anhe Sta (Exit 2),121.55171,25.03304,wsqqmvpk0,信義路四段188號前,"No. 188, Sec. 4, Xinyi Rd"
TPE500101142,500101142,TPE,30,2,2025-05-27T10:48:04+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_八德市場,YouBike2.0_Bade Traditional Market,121.53665,25.04463,wsqqmxhr9,市民大道三段170號,"No. 170, Sec. 3, Civic Blvd."
